S,m_1,n_1,m_2,n_2,hat_p,W_1,W_2
"{(1, 1), (1, 1)}",1,1,1,1,1/2,1/2,1/2
"{(1, 1), (1, 2)}",1,1,1,2,1/3,1/3,2/3
"{(1, 1), (2, 1)}",1,1,2,1,2/3,2/3,1/3
"{(1, 1), (1, 3)}",1,1,1,3,1/4,1/4,3/4
"{(1, 1), (2, 2)}",1,1,2,2,1/2,1/2,1/2
"{(1, 1), (3, 1)}",1,1,3,1,3/4,3/4,1/4
"{(1, 2), (1, 2)}",1,2,1,2,1/4,1/2,1/2
"{(1, 2), (2, 1)}",1,2,2,1,1/2,5/6,1/6
"{(2, 1), (1, 2)}",2,1,1,2,1/2,1/6,5/6
"{(2, 1), (2, 1)}",2,1,2,1,3/4,1/2,1/2
"{(1, 1), (2, 3)}",1,1,2,3,2/5,2/5,3/5
"{(1, 1), (3, 2)}",1,1,3,2,3/5,3/5,2/5
"{(1, 1), (4, 1)}",1,1,4,1,4/5,4/5,1/5
"{(1, 2), (1, 3)}",1,2,1,3,1/5,2/5,3/5
"{(1, 2), (2, 2)}",1,2,2,2,2/5,7/10,3/10
"{(1, 2), (3, 1)}",1,2,3,1,3/5,9/10,1/10
"{(2, 1), (1, 3)}",2,1,1,3,2/5,1/10,9/10
"{(2, 1), (2, 2)}",2,1,2,2,3/5,3/10,7/10
"{(2, 1), (3, 1)}",2,1,3,1,4/5,3/5,2/5
"{(1, 1), (3, 3)}",1,1,3,3,1/2,1/2,1/2
"{(1, 1), (4, 2)}",1,1,4,2,2/3,2/3,1/3
"{(1, 1), (5, 1)}",1,1,5,1,5/6,5/6,1/6
"{(1, 2), (2, 3)}",1,2,2,3,1/3,3/5,2/5
"{(1, 2), (3, 2)}",1,2,3,2,1/2,4/5,1/5
"{(1, 2), (4, 1)}",1,2,4,1,2/3,14/15,1/15
"{(1, 3), (1, 3)}",1,3,1,3,1/6,1/2,1/2
"{(1, 3), (2, 2)}",1,3,2,2,1/3,4/5,1/5
"{(1, 3), (3, 1)}",1,3,3,1,1/2,19/20,1/20
"{(2, 1), (2, 3)}",2,1,2,3,1/2,1/5,4/5
"{(2, 1), (3, 2)}",2,1,3,2,2/3,2/5,3/5
"{(2, 1), (4, 1)}",2,1,4,1,5/6,2/3,1/3
"{(2, 2), (1, 3)}",2,2,1,3,1/3,1/5,4/5
"{(2, 2), (2, 2)}",2,2,2,2,1/2,1/2,1/2
"{(2, 2), (3, 1)}",2,2,3,1,2/3,4/5,1/5
"{(3, 1), (1, 3)}",3,1,1,3,1/2,1/20,19/20
"{(3, 1), (2, 2)}",3,1,2,2,2/3,1/5,4/5
"{(3, 1), (3, 1)}",3,1,3,1,5/6,1/2,1/2
"{(1, 1), (4, 3)}",1,1,4,3,4/7,4/7,3/7
"{(1, 1), (5, 2)}",1,1,5,2,5/7,5/7,2/7
"{(1, 1), (6, 1)}",1,1,6,1,6/7,6/7,1/7
"{(1, 2), (3, 3)}",1,2,3,3,3/7,5/7,2/7
"{(1, 2), (4, 2)}",1,2,4,2,4/7,6/7,1/7
"{(1, 2), (5, 1)}",1,2,5,1,5/7,20/21,1/21
"{(1, 3), (2, 3)}",1,3,2,3,2/7,5/7,2/7
"{(1, 3), (3, 2)}",1,3,3,2,3/7,31/35,4/35
"{(1, 3), (4, 1)}",1,3,4,1,4/7,34/35,1/35
"{(2, 1), (3, 3)}",2,1,3,3,4/7,2/7,5/7
"{(2, 1), (4, 2)}",2,1,4,2,5/7,10/21,11/21
"{(2, 1), (5, 1)}",2,1,5,1,6/7,5/7,2/7
"{(2, 2), (2, 3)}",2,2,2,3,3/7,13/35,22/35
"{(2, 2), (3, 2)}",2,2,3,2,4/7,22/35,13/35
